age,education_level,years_experience,skills_count,skills_match_ratio,previous_companies,salary_expectation,salary_fit,location_match,remote_compatibility,availability_urgency_ratio,experience_level_numeric,education_numeric,match_score,match_label,candidate_skills,required_skills,candidate_location,job_location,remote_work,remote_allowed,availability_days,urgency_days,salary_range_min,salary_range_max,required_experience
55,bachelor,28,6,0.0,4,157974.10011467402,0.3,1.0,1.0,1.0,2,2,0.6026250234406089,poor_match,"terraform,creativity,critical thinking,mongodb,scikit-learn,problem solving","numpy,docker,django,flask",Manaus,Salvador,True,True,21,34,60638,75693,mid
44,bachelor,21,10,0.4,0,126096.51323362767,0.3,0.2,0.5,1.0,2,2,0.5063108102559427,poor_match,"numpy,problem solving,creativity,aws,scikit-learn,java,adaptability,kubernetes,sql,pandas","postgresql,kubernetes,redis,numpy,javascript",Salvador,Brasília,True,False,8,137,73918,109037,mid
57,phd,30,12,0.25,0,177805.67573464007,0.3,1.0,1.0,1.0,2,4,0.7273189051662908,good_match,"docker,time management,communication,git,python,redis,mongodb,teamwork,django,numpy,react,kubernetes","mongodb,pandas,flask,postgresql",Recife,Rio de Janeiro,True,True,100,126,61604,88823,mid
32,phd,7,7,0.125,2,96486.33872403458,1.0,0.2,0.5,0.20754716981132076,3,4,0.41932521978872966,poor_match,"fastapi,postgresql,python,kubernetes,pandas,communication,node.js","java,data science,fastapi,numpy,git,react,django,mongodb",Brasília,Salvador,True,False,53,11,95373,112616,senior
59,bachelor,31,12,0.3333333333333333,1,180942.79229330545,0.3,0.2,0.8,1.0,3,2,0.6351410168127171,poor_match,"adaptability,python,docker,flask,javascript,django,git,node.js,teamwork,scikit-learn,redis,communication","java,django,kubernetes,fastapi,javascript,numpy",Porto Alegre,Recife,False,True,5,63,101694,140190,senior
47,bachelor,19,10,0.5,0,124021.05799311916,0.3,1.0,1.0,1.0,2,2,0.9033622942396858,good_match,"redis,javascript,mongodb,communication,aws,sql,git,numpy,adaptability,react","machine learning,django,react,git,data science,sql",Curitiba,Manaus,True,True,1,116,68038,99040,mid
49,master,21,9,0.2,2,146642.55254594094,0.3,1.0,0.8,0.425531914893617,2,3,0.7116535430239314,good_match,"git,django,docker,mongodb,fastapi,kubernetes,node.js,pandas,machine learning","docker,aws,numpy,postgresql,data science",Rio de Janeiro,Rio de Janeiro,False,True,47,20,64831,98983,mid
30,bachelor,4,3,0.0,2,62244.48869272363,0.8,1.0,1.0,0.9456521739130435,3,2,0.5196394234780639,poor_match,"numpy,fastapi,problem solving","git,kubernetes,terraform,mongodb,react,machine learning,java",São Paulo,Porto Alegre,True,True,92,87,97715,121657,senior
55,master,32,11,0.2,0,198276.26427147115,0.3,0.2,0.5,1.0,4,3,0.6552810088880867,good_match,"terraform,sql,communication,leadership,critical thinking,postgresql,creativity,scikit-learn,problem solving,teamwork,mongodb","scikit-learn,aws,sql,kubernetes,java,javascript,django,data science,numpy,pandas",Recife,Porto Alegre,True,False,70,152,136737,155031,lead
63,master,36,9,0.42857142857142855,2,208008.26674813876,0.3,1.0,1.0,1.0,2,3,0.7240463099178057,good_match,"mongodb,django,pandas,teamwork,git,node.js,leadership,problem solving,adaptability","redis,pandas,git,flask,scikit-learn,numpy,django",Porto Alegre,São Paulo,True,True,113,146,62632,82126,mid
60,master,33,8,0.3333333333333333,4,198367.25203877978,0.3,0.2,0.8,1.0,1,3,0.7205491417472749,good_match,"communication,redis,kubernetes,postgresql,teamwork,react,node.js,scikit-learn","docker,redis,numpy",Curitiba,Salvador,False,True,99,139,44175,66466,junior
47,bachelor,21,10,0.16666666666666666,2,125513.38563332723,0.3,1.0,1.0,1.0,2,2,0.5809516449598636,poor_match,"redis,data science,adaptability,docker,mongodb,sql,numpy,critical thinking,machine learning,git","node.js,machine learning,postgresql,javascript,react,scikit-learn",Brasília,Manaus,True,True,32,69,74749,101467,mid
58,bachelor,33,10,0.3333333333333333,1,182711.61818087762,0.3,0.2,0.5,0.7021276595744681,2,2,0.6580461468751021,good_match,"git,redis,react,java,aws,communication,leadership,node.js,numpy,docker","aws,pandas,numpy,sql,terraform,mongodb",Porto Alegre,Rio de Janeiro,False,False,47,33,60791,91674,mid
29,bachelor,7,7,0.5,2,81654.02575323026,1.0,1.0,1.0,1.0,2,2,0.6788703992084067,good_match,"machine learning,scikit-learn,java,redis,react,data science,time management","react,mongodb,numpy,java,redis,docker",Recife,São Paulo,True,True,64,164,68032,99417,mid
60,bachelor,37,11,0.25,4,211887.710425322,0.3,0.2,0.5,0.632183908045977,2,2,0.5689420580793108,poor_match,"mongodb,python,redis,react,numpy,adaptability,critical thinking,sql,terraform,scikit-learn,teamwork","data science,python,fastapi,docker",Rio de Janeiro,São Paulo,True,False,87,55,66236,97545,mid
51,phd,28,9,0.4444444444444444,2,194591.89410632025,0.3,1.0,1.0,1.0,4,4,0.5993897889912275,poor_match,"terraform,scikit-learn,python,redis,aws,time management,teamwork,react,mongodb","machine learning,scikit-learn,pandas,redis,sql,flask,aws,react,javascript",Brasília,Remote,True,True,14,16,133374,154804,lead
51,bachelor,25,10,0.6,2,163726.04806404997,0.3,0.2,0.8,0.6931818181818182,2,2,0.7731308776685009,good_match,"javascript,terraform,docker,machine learning,fastapi,communication,git,leadership,java,sql","flask,git,fastapi,javascript,python",Porto Alegre,Salvador,False,True,88,61,73669,93281,mid
47,bachelor,20,13,0.42857142857142855,1,129539.04962373132,0.3,1.0,1.0,0.9818181818181818,3,2,0.8260858637586437,good_match,"data science,javascript,communication,django,adaptability,docker,problem solving,numpy,time management,node.js,terraform,java,teamwork","java,postgresql,redis,machine learning,sql,javascript,django",Rio de Janeiro,São Paulo,True,True,110,108,102592,126519,senior
35,master,8,5,0.25,1,90488.82649772419,0.3,1.0,1.0,0.8823529411764706,1,3,0.7238015654717211,good_match,"terraform,machine learning,python,adaptability,mongodb","mongodb,scikit-learn,numpy,node.js",Rio de Janeiro,Porto Alegre,True,True,68,60,43227,79814,junior
22,bachelor,0,5,0.6666666666666666,0,51113.72326915922,1.0,0.2,0.5,1.0,1,2,0.4024896618560737,poor_match,"node.js,django,data science,python,mongodb","node.js,sql,python",Rio de Janeiro,Belo Horizonte,True,False,21,108,41602,68145,junior
57,high_school,35,13,0.16666666666666666,4,180771.46975034793,0.3,0.2,0.8,0.40860215053763443,2,1,0.5091037317995863,poor_match,"teamwork,communication,pandas,leadership,machine learning,redis,postgresql,scikit-learn,numpy,time management,flask,mongodb,problem solving","data science,git,java,machine learning,python,django",Porto Alegre,Salvador,False,True,93,38,73395,108816,mid
54,master,29,12,0.42857142857142855,1,183653.61853435668,0.3,0.2,0.5,1.0,3,3,0.6608580273742726,good_match,"react,problem solving,teamwork,flask,kubernetes,aws,pandas,fastapi,node.js,postgresql,scikit-learn,redis","terraform,scikit-learn,django,node.js,numpy,python,aws",Rio de Janeiro,São Paulo,True,False,30,60,103600,139243,senior
56,bachelor,34,13,0.3333333333333333,1,181490.80778058927,0.3,0.2,0.8,0.7727272727272727,1,2,0.6174285377990956,poor_match,"scikit-learn,django,adaptability,python,fastapi,communication,git,react,machine learning,javascript,docker,pandas,problem solving","python,terraform,kubernetes",Fortaleza,Recife,False,True,110,85,48885,88167,junior
42,master,19,9,0.25,4,126451.22471743204,0.3,1.0,1.0,1.0,2,3,0.6980730591206953,good_match,"postgresql,python,communication,node.js,aws,redis,git,java,leadership","machine learning,flask,node.js,terraform",São Paulo,Belo Horizonte,True,True,41,158,71768,90224,mid
61,bachelor,34,10,0.25,3,197644.94952064892,0.3,1.0,1.0,1.0,1,2,0.77844172600152,good_match,"creativity,fastapi,redis,critical thinking,mongodb,javascript,django,problem solving,java,scikit-learn","pandas,sql,terraform,redis",Rio de Janeiro,Curitiba,True,True,15,157,49215,64516,junior
53,bachelor,26,8,0.1111111111111111,1,161274.720144843,0.3,0.2,0.5,1.0,3,2,0.45477996963961553,poor_match,"teamwork,machine learning,problem solving,git,mongodb,sql,fastapi,redis","aws,javascript,react,fastapi,django,flask,python,kubernetes,numpy",Curitiba,Belo Horizonte,True,False,5,76,92634,111617,senior
41,master,14,3,0.0,3,109454.40893262155,1.0,1.0,1.0,1.0,3,3,0.5857300434071239,poor_match,"postgresql,data science,fastapi","numpy,machine learning,javascript,aws,mongodb,docker,pandas,react",Salvador,Remote,True,True,76,109,98590,115323,senior
30,phd,4,4,0.3333333333333333,2,77043.06053368791,0.3,1.0,1.0,0.45,1,4,0.5035526032146038,poor_match,"redis,postgresql,docker,communication","redis,java,fastapi",Fortaleza,Remote,True,True,60,27,43017,76698,junior
28,high_school,0,6,0.25,0,45063.69401207861,1.0,1.0,1.0,1.0,1,1,0.4105339169419775,poor_match,"java,git,node.js,problem solving,adaptability,sql","sql,numpy,javascript,kubernetes",Brasília,Curitiba,True,True,24,65,38750,62285,junior
31,phd,7,5,0.25,2,102819.81767551586,0.3,1.0,1.0,1.0,1,4,0.6245209788291058,poor_match,"node.js,react,data science,critical thinking,leadership","data science,python,django,kubernetes",Belo Horizonte,São Paulo,True,True,11,14,39135,60764,junior
64,bachelor,37,13,0.3333333333333333,0,191557.02538359724,0.3,1.0,0.8,0.58,1,2,0.7283820538315203,good_match,"communication,aws,django,postgresql,creativity,fastapi,numpy,javascript,teamwork,react,adaptability,docker,leadership","data science,node.js,docker",Fortaleza,Remote,False,True,50,29,47625,68058,junior
43,master,18,9,0.4,4,131806.43514887267,0.3,0.2,0.5,1.0,2,3,0.7683088532431265,good_match,"scikit-learn,fastapi,terraform,problem solving,kubernetes,data science,django,mongodb,react","postgresql,redis,react,java,django",São Paulo,Fortaleza,False,False,91,179,69641,106419,mid
40,master,13,6,0.16666666666666666,0,117874.43740449197,1.0,1.0,1.0,1.0,3,3,0.6113868283797019,poor_match,"machine learning,terraform,flask,kubernetes,communication,docker","docker,postgresql,redis,data science,node.js,mongodb",Belo Horizonte,Manaus,True,True,110,156,100088,128034,senior
61,phd,34,15,0.25,2,211937.01992857514,0.3,0.2,0.5,1.0,2,4,0.5840168926273948,poor_match,"data science,redis,postgresql,time management,machine learning,numpy,adaptability,react,fastapi,flask,django,leadership,mongodb,node.js,creativity","java,javascript,sql,postgresql",Belo Horizonte,Brasília,True,False,35,147,71834,103128,mid
32,bachelor,5,6,0.0,2,79056.27989036028,1.0,0.2,0.5,1.0,2,2,0.6779278544445363,good_match,"data science,javascript,fastapi,java,sql,django","react,kubernetes,postgresql,python,redis",São Paulo,Curitiba,True,False,115,175,73989,89375,mid
33,bachelor,11,6,0.0,3,87850.50948743966,0.3,1.0,1.0,1.0,1,2,0.6142281137298186,poor_match,"mongodb,creativity,teamwork,redis,postgresql,python","git,scikit-learn,terraform",Curitiba,Rio de Janeiro,True,True,7,126,40744,74028,junior
25,high_school,0,5,0.14285714285714285,0,31492.783947432392,0.8,1.0,1.0,1.0,2,1,0.23662897287766882,poor_match,"kubernetes,redis,communication,aws,time management","git,mongodb,react,docker,fastapi,machine learning,kubernetes",Belo Horizonte,Recife,True,True,85,170,62567,78874,mid
40,bachelor,16,8,0.16666666666666666,3,117741.54537412347,0.3,0.2,0.8,0.358974358974359,2,2,0.7119517319845058,good_match,"flask,problem solving,aws,time management,critical thinking,teamwork,leadership,java","java,postgresql,machine learning,react,fastapi,node.js",São Paulo,Brasília,False,True,78,28,69134,108179,mid
31,bachelor,4,7,0.4,2,59438.06936441039,0.8,1.0,1.0,0.3235294117647059,2,2,0.6148836108900413,poor_match,"terraform,adaptability,pandas,data science,node.js,machine learning,communication","data science,mongodb,javascript,pandas,sql",Porto Alegre,Curitiba,True,True,102,33,62951,95573,mid
50,bachelor,22,10,0.5,4,128085.93284117222,0.3,0.2,0.5,1.0,1,2,0.6667850616611349,good_match,"python,teamwork,data science,docker,git,redis,javascript,postgresql,time management,node.js","numpy,postgresql,docker,scikit-learn",Fortaleza,Belo Horizonte,True,False,93,118,44010,69390,junior
38,master,15,8,0.16666666666666666,3,108468.14350712179,1.0,1.0,1.0,1.0,3,3,0.6725771280814075,good_match,"node.js,teamwork,java,flask,redis,docker,javascript,scikit-learn","terraform,mongodb,react,javascript,machine learning,kubernetes",Belo Horizonte,Curitiba,True,True,71,71,99131,133735,senior
57,high_school,33,10,0.0,0,170697.65675142166,0.3,0.2,0.5,0.6785714285714286,2,1,0.5104037119525623,poor_match,"docker,django,teamwork,data science,pandas,aws,problem solving,redis,python,flask","fastapi,scikit-learn,javascript,terraform",Manaus,Brasília,True,False,84,57,64579,96935,mid
29,bachelor,5,7,0.14285714285714285,2,73507.06064102723,1.0,0.2,0.5,1.0,2,2,0.4624626390453152,poor_match,"numpy,django,creativity,mongodb,leadership,pandas,redis","docker,postgresql,machine learning,kubernetes,flask,numpy,javascript",São Paulo,Salvador,True,False,52,84,70692,109633,mid
31,bachelor,3,2,0.0,1,59866.781366124684,1.0,0.2,0.5,1.0,1,2,0.4583327878383022,poor_match,"creativity,docker","pandas,numpy,scikit-learn,node.js",Rio de Janeiro,Belo Horizonte,False,False,8,179,46128,65572,junior
48,phd,26,8,0.75,0,161789.8320262223,0.3,1.0,1.0,1.0,1,4,0.813106046192685,good_match,"communication,git,node.js,data science,flask,aws,machine learning,python","python,node.js,aws,mongodb",Fortaleza,Porto Alegre,True,True,65,142,36422,66511,junior
62,bachelor,33,10,0.5,1,185551.0418417395,0.3,1.0,1.0,0.7571428571428571,1,2,0.6720563272818115,good_match,"terraform,kubernetes,mongodb,numpy,node.js,fastapi,data science,redis,pandas,leadership","data science,django,terraform,python",Fortaleza,Remote,True,True,70,53,35205,73941,junior
42,bachelor,13,10,0.375,4,91607.06684559147,0.8,1.0,1.0,1.0,3,2,0.6387759452237439,poor_match,"numpy,aws,time management,flask,scikit-learn,kubernetes,teamwork,docker,terraform,mongodb","docker,git,terraform,machine learning,kubernetes,react,redis,node.js",Porto Alegre,Fortaleza,True,True,81,174,93922,113919,senior
40,bachelor,14,9,0.14285714285714285,1,109367.78355511512,1.0,0.2,0.8,1.0,3,2,0.528734803882796,poor_match,"postgresql,communication,django,python,node.js,numpy,leadership,git,scikit-learn","numpy,kubernetes,fastapi,data science,javascript,machine learning,aws",São Paulo,Curitiba,False,True,5,111,94855,132786,senior
27,bachelor,2,5,0.0,1,71387.6167223883,0.8,0.2,0.5,0.9117647058823529,3,2,0.34164762613014216,poor_match,"python,sql,terraform,redis,creativity","aws,docker,pandas,postgresql,flask,machine learning,react,mongodb",Rio de Janeiro,Porto Alegre,True,False,34,31,91271,108084,senior
49,master,23,6,0.2,0,156114.03804814268,0.3,0.2,0.5,1.0,2,3,0.45134850756298495,poor_match,"leadership,communication,creativity,kubernetes,django,aws","terraform,django,numpy,sql,redis",Curitiba,Manaus,True,False,43,133,69519,102429,mid
31,bachelor,3,6,0.25,1,58828.51336454868,1.0,0.2,0.8,1.0,1,2,0.7542302783605849,good_match,"django,kubernetes,teamwork,sql,redis,javascript","scikit-learn,aws,django,docker",Salvador,Porto Alegre,False,True,58,75,37668,67306,junior
22,bachelor,0,8,0.14285714285714285,0,34114.70274880548,0.8,1.0,1.0,0.3063063063063063,2,2,0.2243073474488443,poor_match,"postgresql,adaptability,flask,java,kubernetes,aws,data science,javascript","git,numpy,sql,django,docker,pandas,javascript",Salvador,Porto Alegre,True,True,111,34,74318,114008,mid
40,bachelor,13,6,0.25,3,107992.71875402455,1.0,1.0,1.0,0.6792452830188679,3,2,0.7511653347489726,good_match,"teamwork,kubernetes,sql,adaptability,fastapi,scikit-learn","sql,fastapi,java,aws,pandas,react,machine learning,docker",Manaus,Remote,True,True,53,36,102716,122710,senior
61,high_school,32,10,0.0,4,175525.56915058146,0.3,0.2,0.5,1.0,1,1,0.41410558387958885,poor_match,"kubernetes,python,react,numpy,data science,leadership,git,redis,creativity,docker","mongodb,machine learning,java",Rio de Janeiro,Recife,False,False,79,176,35489,62237,junior
32,bachelor,3,2,0.14285714285714285,1,70315.16042433711,0.8,0.2,0.5,1.0,3,2,0.3196245758870748,poor_match,"sql,react","data science,machine learning,docker,sql,redis,git,java",Manaus,Brasília,True,False,79,152,101767,132870,senior
23,master,1,3,0.0,0,65002.92252612135,1.0,1.0,1.0,0.4470588235294118,2,3,0.48668553587649344,poor_match,"problem solving,creativity,git","mongodb,python,terraform,node.js",Belo Horizonte,Salvador,True,True,85,38,62217,97140,mid
39,bachelor,15,6,0.2,6,113556.9549792113,0.3,0.2,0.5,1.0,1,2,0.6012932165661359,poor_match,"mongodb,critical thinking,redis,creativity,javascript,adaptability","sql,java,node.js,kubernetes,javascript",Salvador,Brasília,True,False,72,101,35464,64526,junior
51,bachelor,26,10,0.5714285714285714,1,156467.60086665212,0.3,1.0,1.0,1.0,3,2,0.9466019234295837,good_match,"creativity,python,communication,numpy,teamwork,scikit-learn,terraform,fastapi,aws,git","sql,django,fastapi,kubernetes,git,numpy,terraform",Porto Alegre,Fortaleza,True,True,86,95,96327,119744,senior
61,master,38,14,0.8,2,227233.09271658404,0.3,0.2,0.8,1.0,1,3,0.9580767132289653,good_match,"flask,react,data science,python,machine learning,sql,java,creativity,mongodb,problem solving,adaptability,javascript,node.js,scikit-learn","python,react,sql,data science,fastapi",Manaus,Recife,False,True,54,95,48488,72506,junior
62,bachelor,36,11,0.5714285714285714,2,198311.35348114988,0.3,0.2,0.5,0.8823529411764706,3,2,0.6775033136615799,good_match,"data science,flask,react,mongodb,git,kubernetes,javascript,node.js,docker,java,redis","postgresql,java,pandas,flask,python,node.js,kubernetes",Rio de Janeiro,Belo Horizonte,False,False,17,15,103678,138134,senior
35,phd,6,2,0.0,0,94734.01987558698,1.0,1.0,1.0,1.0,2,4,0.5711792317141342,poor_match,"postgresql,creativity","django,aws,scikit-learn,java,javascript,node.js,kubernetes",Belo Horizonte,São Paulo,True,True,17,54,68039,97369,mid
61,bachelor,36,11,0.6,3,184762.44205893707,0.3,1.0,0.8,1.0,1,2,0.8255993682223843,good_match,"fastapi,docker,problem solving,time management,python,numpy,pandas,data science,react,scikit-learn,communication","docker,flask,kubernetes,numpy,data science",Rio de Janeiro,Rio de Janeiro,False,True,87,110,36987,68461,junior
31,bachelor,9,7,0.3333333333333333,0,80417.0098510729,0.3,1.0,1.0,0.38461538461538464,1,2,0.7128751030546987,good_match,"leadership,postgresql,pandas,fastapi,sql,django,flask","data science,sql,docker",Rio de Janeiro,Salvador,True,True,52,20,39591,55180,junior
29,master,2,6,0.25,1,73585.76668908383,0.8,1.0,1.0,1.0,3,3,0.4346520178391169,poor_match,"aws,problem solving,django,pandas,time management,data science","git,machine learning,python,django,kubernetes,pandas,javascript,docker",Curitiba,Curitiba,True,True,17,114,99772,132117,senior
37,bachelor,14,9,0.2857142857142857,0,118061.06847130947,0.3,0.2,0.8,1.0,2,2,0.6040808573002107,poor_match,"python,postgresql,flask,communication,javascript,fastapi,creativity,teamwork,git","aws,sql,fastapi,node.js,react,flask,numpy",Recife,Brasília,False,True,70,162,62931,91498,mid
55,bachelor,26,12,0.375,1,151838.5862340482,0.3,1.0,1.0,0.15555555555555556,3,2,0.5404716806420533,poor_match,"aws,numpy,django,leadership,terraform,time management,flask,sql,scikit-learn,python,kubernetes,docker","javascript,mongodb,python,react,fastapi,scikit-learn,django,git",Belo Horizonte,São Paulo,True,True,90,14,101818,116834,senior
33,bachelor,5,4,0.3333333333333333,2,59886.846919778705,0.8,1.0,1.0,1.0,2,2,0.5638040068624056,poor_match,"aws,communication,problem solving,python","redis,python,postgresql,aws,javascript,terraform",Fortaleza,Fortaleza,True,True,19,165,72671,100121,mid
40,phd,11,4,0.3333333333333333,1,128133.24391433148,1.0,1.0,1.0,0.8962264150943396,3,4,0.6787562994492748,good_match,"postgresql,git,javascript,teamwork","javascript,docker,scikit-learn,sql,redis,postgresql",Belo Horizonte,Rio de Janeiro,True,True,106,95,103594,140650,senior
33,high_school,10,8,0.2222222222222222,5,82990.14742474796,0.8,1.0,1.0,0.8854166666666666,3,1,0.7085430725685085,good_match,"leadership,javascript,git,adaptability,django,data science,node.js,communication","scikit-learn,machine learning,javascript,data science,react,java,sql,redis,fastapi",Salvador,Remote,True,True,96,85,96998,128997,senior
64,high_school,36,13,0.2857142857142857,3,168764.38207794467,0.3,0.2,0.5,0.5833333333333334,2,1,0.5224829786409678,poor_match,"postgresql,time management,machine learning,critical thinking,problem solving,django,leadership,fastapi,numpy,flask,data science,redis,kubernetes","postgresql,java,fastapi,python,mongodb,aws,pandas",São Paulo,Recife,True,False,84,49,61499,86790,mid
63,bachelor,39,12,0.6666666666666666,2,200405.4543373787,0.3,0.2,0.8,0.8913043478260869,3,2,0.8689113986757385,good_match,"critical thinking,react,python,fastapi,sql,numpy,problem solving,aws,javascript,java,node.js,adaptability","terraform,redis,react,aws,python,javascript",Belo Horizonte,Porto Alegre,False,True,46,41,103778,125786,senior
51,bachelor,27,6,0.16666666666666666,1,152512.01566624464,0.3,0.2,0.8,1.0,2,2,0.5404275642736355,poor_match,"redis,aws,critical thinking,sql,javascript,adaptability","postgresql,pandas,redis,machine learning,terraform,node.js",Porto Alegre,Salvador,False,True,43,114,63715,93592,mid
47,bachelor,19,10,0.14285714285714285,2,124236.11076666071,1.0,1.0,1.0,1.0,3,2,0.6748308237302297,good_match,"java,postgresql,numpy,javascript,sql,data science,scikit-learn,problem solving,docker,adaptability","flask,python,aws,terraform,pandas,mongodb,javascript",Rio de Janeiro,Manaus,True,True,37,166,102720,142560,senior
26,master,3,7,0.2857142857142857,1,67933.91719283896,0.8,1.0,0.5,1.0,3,3,0.5263729474335613,poor_match,"scikit-learn,redis,react,python,django,git,sql","node.js,javascript,numpy,docker,terraform,django,sql",Recife,Recife,True,False,15,24,104506,133824,senior
49,master,25,7,0.2,2,152820.06749466233,0.3,0.2,0.8,1.0,2,3,0.46402540179777746,poor_match,"machine learning,teamwork,numpy,kubernetes,data science,adaptability,fastapi","redis,scikit-learn,machine learning,java,aws",Belo Horizonte,Curitiba,False,True,53,83,60126,80728,mid
44,bachelor,17,9,0.3333333333333333,1,111372.82036165081,0.3,1.0,1.0,1.0,2,2,0.7661132384102803,good_match,"machine learning,django,teamwork,sql,leadership,javascript,pandas,react,flask","javascript,mongodb,data science,postgresql,kubernetes,pandas",Manaus,Salvador,True,True,48,81,62296,84460,mid
56,high_school,32,11,0.42857142857142855,2,183362.9400171541,0.3,0.2,0.5,1.0,2,1,0.5051683984355549,poor_match,"react,communication,creativity,mongodb,aws,machine learning,numpy,adaptability,kubernetes,critical thinking,node.js","node.js,fastapi,flask,kubernetes,java,numpy,data science",Brasília,Manaus,False,False,10,101,62572,84487,mid
62,master,33,10,0.3333333333333333,1,190725.31660243357,0.3,0.2,0.5,0.16049382716049382,1,3,0.5492965597914113,poor_match,"postgresql,communication,python,adaptability,redis,flask,django,pandas,creativity,mongodb","java,kubernetes,mongodb",Porto Alegre,Belo Horizonte,True,False,81,13,49605,88077,junior
29,high_school,0,5,0.1111111111111111,0,48235.659852786855,0.8,0.2,0.5,1.0,3,1,0.2748728394196859,poor_match,"leadership,postgresql,python,numpy,redis","fastapi,postgresql,pandas,mongodb,flask,aws,javascript,django,terraform",Curitiba,Porto Alegre,True,False,35,105,104559,125705,senior
35,master,9,5,0.3333333333333333,1,92609.79635513606,0.3,1.0,1.0,0.23655913978494625,1,3,0.7741399623281442,good_match,"communication,redis,fastapi,docker,kubernetes","pandas,kubernetes,git",Rio de Janeiro,Recife,True,True,93,22,48286,79630,junior
30,bachelor,8,2,0.0,1,92022.74107541986,0.8,1.0,1.0,1.0,3,2,0.4926232832379718,poor_match,"leadership,javascript","react,terraform,django,postgresql,kubernetes,git,mongodb",São Paulo,Fortaleza,True,True,39,82,92964,110485,senior
63,bachelor,39,10,0.0,2,207277.94693640596,0.3,0.2,0.5,1.0,1,2,0.5843450826350911,poor_match,"time management,react,terraform,leadership,sql,creativity,numpy,postgresql,kubernetes,adaptability","mongodb,javascript,node.js",Recife,Belo Horizonte,True,False,1,131,48327,88229,junior
43,master,18,8,0.3333333333333333,2,122590.61330756175,1.0,1.0,1.0,1.0,3,3,0.7836714904336042,good_match,"aws,time management,javascript,redis,leadership,fastapi,java,mongodb","javascript,kubernetes,numpy,aws,scikit-learn,flask,postgresql,react,redis",Rio de Janeiro,Manaus,True,True,41,62,103502,138964,senior
